"REG","value"
"CHN",0.0000000000
"XEA",0.0000000000
"USA",0.0000000000
"RUS",0.0000000000
"EUR",0.0000000000
"XOE",0.0000000000
"OPC",0.0000000000
"SAS",0.0000000000
"XLC",0.0000000000
"ROW",0.0000000000
