"ACTS","REG","value"
"XEL-a","ROW",0.0000000000
"SRV-a","CHN",0.0000000000
"SRV-a","XEA",0.0000000000
"SRV-a","USA",0.0000000000
"SRV-a","RUS",0.0000000000
"SRV-a","EUR",0.0000000000
"SRV-a","XOE",0.0000000000
"SRV-a","OPC",0.0000000000
"SRV-a","SAS",0.0000000000
"SRV-a","XLC",0.0000000000
"SRV-a","ROW",0.0000000000
