REG,value
CHN,1040757.5925837839
XEA,409613.63800728676
USA,1503669.425627312
RUS,269531.2394209006
EUR,2457408.827750345
XOE,1636567.073186119
OPC,777576.609940778
SAS,221590.5647745454
XLC,373972.42530946457
ROW,329247.0906938003
