COMM,ACTS,REG,value
ELY,NUC-a,XOE,21646.736629359588
ELY,NUC-a,OPC,2825.263264681308
ELY,NUC-a,SAS,3365.7536381831005
ELY,NUC-a,XLC,743.582473165532
ELY,NUC-a,ROW,23836.802331978473
ELY,HYD-a,CHN,41876.369657968324
ELY,HYD-a,XEA,7204.012652588937
ELY,HYD-a,USA,34479.87889783886
ELY,HYD-a,RUS,1748.6052935069229
ELY,HYD-a,EUR,53271.447123622536
ELY,HYD-a,XOE,51190.994749491496
ELY,HYD-a,OPC,35905.416761608896
ELY,HYD-a,SAS,12518.097313175664
ELY,HYD-a,XLC,12619.374155267578
ELY,HYD-a,ROW,18951.76746766525
ELY,SOL-a,CHN,173.25313742510724
ELY,SOL-a,XEA,13.493614813537514
ELY,SOL-a,USA,1291.0580730666916
ELY,SOL-a,EUR,19177.405368874744
ELY,SOL-a,XOE,2919.800040450868
ELY,SOL-a,SAS,155.16026458809668
ELY,SOL-a,XLC,8.156659198910445
ELY,SOL-a,ROW,107.31733371078626
ELY,WND-a,CHN,4256.449883452898
ELY,WND-a,XEA,58.99955833369595
ELY,WND-a,USA,10337.700067872262
ELY,WND-a,RUS,0.028814934287505253
ELY,WND-a,EUR,37567.38548033207
ELY,WND-a,XOE,3414.0978914078705
ELY,WND-a,OPC,752.6183885854072
ELY,WND-a,SAS,2532.2152903307847
ELY,WND-a,XLC,240.97821044460898
ELY,WND-a,ROW,1344.196214306089
ELY,XEL-a,CHN,5482.743478109713
ELY,XEL-a,XEA,1718.1177533233968
ELY,XEL-a,USA,8047.295858055773
ELY,XEL-a,RUS,127.04224066390398
ELY,XEL-a,EUR,39629.151753116945
ELY,XEL-a,XOE,11744.414797256964
ELY,XEL-a,OPC,5622.217183781596
ELY,XEL-a,SAS,2472.6379353985308
ELY,XEL-a,XLC,2920.1995302809864
ELY,XEL-a,ROW,650.5209276985087
