COMM,ACTS,REG,value
FRS,SRV-a,XEA,4003.936173623835
FRS,SRV-a,USA,520.3146048010649
FRS,SRV-a,RUS,3763.2589411297345
FRS,SRV-a,EUR,2614.138618676428
FRS,SRV-a,XOE,2559.693458319565
FRS,SRV-a,OPC,338.2349194017137
FRS,SRV-a,SAS,4248.959305923492
FRS,SRV-a,XLC,1442.1214817449852
FRS,SRV-a,ROW,2600.260874526759
COA,AGR-a,CHN,708.5654779931921
COA,AGR-a,XEA,2.0072213428312713
COA,AGR-a,RUS,6.649153038102668
COA,AGR-a,EUR,143.42219469002504
COA,AGR-a,XOE,11.175275953826683
COA,AGR-a,OPC,17.44042280666771
COA,AGR-a,ROW,32.02346735007168
COA,FRS-a,CHN,54.61394118340651
COA,FRS-a,XEA,1.678377985931759
COA,FRS-a,RUS,2.4464542865753174
COA,FRS-a,EUR,22.009926367215936
COA,FRS-a,XOE,0.3825254585590301
COA,FRS-a,OPC,0.12536849151886176
COA,FRS-a,ROW,10.765380333554983
COA,COA-a,CHN,3217.0544051398597
COA,COA-a,XEA,13.720381132448514
COA,COA-a,USA,38.01093893935769
COA,COA-a,RUS,63.34062194824219
COA,COA-a,EUR,21.69857707162009
COA,COA-a,XOE,6.42580165527761
COA,COA-a,OPC,25.347718645813988
COA,COA-a,SAS,6.9415455337771945
COA,COA-a,XLC,1.0354377718476646
COA,COA-a,ROW,22.39114620585369
COA,OIL-a,CHN,3.4675230694125663
COA,OIL-a,XEA,0.6846495694458175
COA,GAS-a,CHN,472.4374426551532
COA,GAS-a,XEA,5.0210243620836135
COA,GAS-a,USA,279.0890024807164
COA,GAS-a,RUS,2.562894467264414
COA,GAS-a,EUR,63.442274776467954
COA,GAS-a,XOE,0.5915851068622615
COA,GAS-a,OPC,0.49598617128528316
COA,GAS-a,SAS,8.714836659493667
COA,GAS-a,XLC,0.2231766277260585
COA,GAS-a,ROW,494.2352354797265
COA,OXT-a,CHN,347.9180082202187
COA,OXT-a,XEA,20.402859304619206
COA,OXT-a,USA,2.104060425504965
COA,OXT-a,RUS,1.6206934452056885
COA,OXT-a,EUR,19.42083019295978
COA,OXT-a,XOE,42.48968476901063
COA,OXT-a,OPC,157.8234993845679
COA,OXT-a,SAS,11.34453032332367
COA,OXT-a,XLC,1.4656545413372937
COA,OXT-a,ROW,46.00824704897163
COA,EIT-a,CHN,23984.223261346382
COA,EIT-a,XEA,2462.5909721275584
COA,EIT-a,USA,1945.2067374181674
COA,EIT-a,RUS,173.35391546214618
COA,EIT-a,EUR,1327.478635870359
COA,EIT-a,XOE,554.336771886111
COA,EIT-a,OPC,774.9643193091263
COA,EIT-a,SAS,2595.828224929157
COA,EIT-a,XLC,256.7331825032031
COA,EIT-a,ROW,1176.340081450015
COA,XMN-a,CHN,3810.8396442578505
COA,XMN-a,XEA,527.6441707032633
COA,XMN-a,USA,620.5897355278148
COA,XMN-a,RUS,27.097101631574333
COA,XMN-a,EUR,204.01830259672732
COA,XMN-a,XOE,156.65710925381242
COA,XMN-a,OPC,127.83130328987912
COA,XMN-a,SAS,270.31574283946685
COA,XMN-a,XLC,47.97327852061138
COA,XMN-a,ROW,144.20770760380296
COA,P_C-a,CHN,28901.401697273108
COA,P_C-a,XEA,11.240081850156907
COA,P_C-a,USA,1299.5283916907954
COA,P_C-a,RUS,2474.5950335052594
COA,P_C-a,EUR,2891.496241783313
COA,P_C-a,XOE,919.719916888973
COA,P_C-a,OPC,354.25060538493636
COA,P_C-a,SAS,201.07097843900317
COA,P_C-a,XLC,167.64132745760085
COA,P_C-a,ROW,5362.451458105764
COA,ETD-a,OPC,1.4804432681840143
COA,ETD-a,XLC,1.1731397302410087
COA,ETD-a,ROW,1.343692021916998
COA,CLP-a,CHN,92739.70061515676
COA,CLP-a,XEA,4922.114882784709
COA,CLP-a,USA,61384.628094889726
COA,CLP-a,RUS,7852.886611421583
COA,CLP-a,EUR,18941.477687225346
COA,CLP-a,XOE,9697.890638455678
COA,CLP-a,OPC,1441.6266218503035
COA,CLP-a,SAS,8149.750563077908
COA,CLP-a,XLC,675.7166460140543
COA,CLP-a,ROW,13534.789249915115
COA,OLP-a,OPC,47.25774416611
COA,OLP-a,XLC,17.178893608751746
COA,GSP-a,OPC,0.6880411997570675
COA,XEL-a,EUR,38.12211949833823
COA,XEL-a,XLC,0.02451379149577741
COA,SRV-a,CHN,2807.7001201035278
COA,SRV-a,XEA,550.9518565635553
COA,SRV-a,USA,210.00284512307718
COA,SRV-a,RUS,434.49325524040023
COA,SRV-a,EUR,173.31228970037378
COA,SRV-a,OPC,119.44861086936402
COA,SRV-a,SAS,227.53775441330316
COA,SRV-a,ROW,795.5092515318871
OIL,AGR-a,XEA,4.991648030555184
OIL,AGR-a,ROW,2.0857233151461783
OIL,FRS-a,XEA,0.4890762356016379
OIL,FRS-a,RUS,7.808588504791259
OIL,FRS-a,OPC,0.07864296066918541
OIL,FRS-a,ROW,0.13351629661446565
OIL,COA-a,RUS,0.7179782390594482
OIL,COA-a,EUR,1.8133154284186617
OIL,COA-a,OPC,0.10359790423922277
OIL,OIL-a,CHN,1322.7225677629115
OIL,OIL-a,XEA,1.214450190514713
OIL,OIL-a,USA,19.43717157212657
OIL,OIL-a,RUS,92.98081207275389
OIL,OIL-a,EUR,6.253089703458727
OIL,OIL-a,XOE,48.209072079043835
OIL,OIL-a,OPC,498.3350414512679
OIL,OIL-a,XLC,50.021712087738464
OIL,OIL-a,ROW,8.51937602167211
OIL,GAS-a,CHN,703.8494916878092
OIL,GAS-a,XEA,17.251173831631597
OIL,GAS-a,USA,117.35255612541083
OIL,GAS-a,RUS,47.86853766441345
OIL,GAS-a,EUR,199.2589676292306
OIL,GAS-a,XOE,38.596797607788176
OIL,GAS-a,OPC,200.1665986609514
OIL,GAS-a,SAS,29.851100913149093
OIL,GAS-a,XLC,3.256571998148922
OIL,GAS-a,ROW,15.534425801680696
OIL,OXT-a,XEA,3.9097523461095034
OIL,OXT-a,RUS,0.8578373789787292
OIL,OXT-a,XOE,4.406407973903697
OIL,OXT-a,OPC,6.896387762120867
OIL,OXT-a,SAS,0.12878691216951516
OIL,OXT-a,XLC,0.7254651245030429
OIL,OXT-a,ROW,1.0813127871420896
OIL,EIT-a,CHN,594.3440615532273
OIL,EIT-a,XEA,1115.4733964891664
OIL,EIT-a,USA,19.811379151608314
OIL,EIT-a,RUS,65.64850479364394
OIL,EIT-a,EUR,51.88855664947881
OIL,EIT-a,XOE,18.137354009511455
OIL,EIT-a,OPC,2661.56015984372
OIL,EIT-a,XLC,285.17874708322455
OIL,EIT-a,ROW,57.83671079157475
OIL,XMN-a,XEA,18.623187265148562
OIL,XMN-a,RUS,27.359246860258278
OIL,XMN-a,OPC,566.1806618368827
OIL,XMN-a,XLC,158.59938552843684
OIL,XMN-a,ROW,16.67589416044961
OIL,P_C-a,CHN,117728.23691613956
OIL,P_C-a,XEA,48870.4888638507
OIL,P_C-a,USA,221642.19670019895
OIL,P_C-a,RUS,164222.25704200438
OIL,P_C-a,EUR,60997.51871703967
OIL,P_C-a,XOE,54849.20854740309
OIL,P_C-a,OPC,285242.0428512301
OIL,P_C-a,SAS,25639.203363468463
OIL,P_C-a,XLC,57791.22138096277
OIL,P_C-a,ROW,40465.75332465463
OIL,ETD-a,OPC,0.693789559722063
OIL,OLP-a,CHN,85.77047676693982
OIL,OLP-a,XEA,103.89405032800917
OIL,OLP-a,USA,11.496623260812417
OIL,OLP-a,RUS,567.1691264815746
OIL,OLP-a,EUR,1696.8513583801694
OIL,OLP-a,XOE,81.11793478252366
OIL,OLP-a,OPC,17985.467772157757
OIL,OLP-a,SAS,0.2839211167094509
OIL,OLP-a,XLC,843.8000728620528
OIL,OLP-a,ROW,128.36756030375227
OIL,GSP-a,OPC,3.09615132016188
OIL,SRV-a,XEA,68.84470442668578
OIL,SRV-a,RUS,18.698750758900353
OIL,SRV-a,OPC,370.32945543664187
OIL,SRV-a,XLC,24.615606765901937
OIL,SRV-a,ROW,25.266982302720766
GAS,AGR-a,CHN,3.39943761941989
GAS,AGR-a,USA,228.3260307480362
GAS,AGR-a,RUS,37.70441371295601
GAS,AGR-a,EUR,242.7837829801957
GAS,AGR-a,XOE,83.05546036198338
GAS,AGR-a,OPC,44.94742774967343
GAS,AGR-a,SAS,49.9086376476737
GAS,AGR-a,XLC,4.111465142467481
GAS,AGR-a,ROW,99.45549003779739
GAS,FRS-a,CHN,0.5315852273860815
GAS,FRS-a,USA,3.507909834203376
GAS,FRS-a,RUS,150.15537203355345
GAS,FRS-a,EUR,6.27208593419296
GAS,FRS-a,XOE,7.18652546197279
GAS,FRS-a,OPC,3.940437874170072
GAS,FRS-a,SAS,1.1425942070746102
GAS,FRS-a,XLC,0.06972788294280899
GAS,FRS-a,ROW,1.0428331812130118
GAS,COA-a,CHN,0.9620540212911424
GAS,COA-a,USA,7.424031598745849
GAS,COA-a,RUS,0.6019496619701385
GAS,COA-a,EUR,1.5719942979209158
GAS,COA-a,XOE,12.14488467406427
GAS,COA-a,OPC,0.0853533800879415
GAS,COA-a,SAS,0.03173983821165224
GAS,COA-a,ROW,0.8019041137387344
GAS,OIL-a,CHN,100.54714597572922
GAS,OIL-a,XEA,1335.6704954304446
GAS,OIL-a,USA,1591.0897119215615
GAS,OIL-a,RUS,886.6269610816431
GAS,OIL-a,EUR,792.5456998217368
GAS,OIL-a,XOE,947.2561532599453
GAS,OIL-a,OPC,4599.402538191993
GAS,OIL-a,SAS,730.4775166123187
GAS,OIL-a,XLC,1339.3326451489843
GAS,OIL-a,ROW,628.5711526611875
GAS,GAS-a,CHN,92.08254044675762
GAS,GAS-a,XEA,3812.9979398748924
GAS,GAS-a,USA,5043.959794073424
GAS,GAS-a,RUS,1975.1307242594635
GAS,GAS-a,EUR,1836.3436125681246
GAS,GAS-a,XOE,2288.5916350930643
GAS,GAS-a,OPC,7463.352800199305
GAS,GAS-a,SAS,1602.2721863681636
GAS,GAS-a,XLC,1209.9385037354116
GAS,GAS-a,ROW,2432.4221790804136
GAS,OXT-a,CHN,42.5849936764466
GAS,OXT-a,XEA,102.7097900555938
GAS,OXT-a,USA,359.9991493135105
GAS,OXT-a,RUS,560.2461966574143
GAS,OXT-a,EUR,79.456190872013
GAS,OXT-a,XOE,1289.5183860994146
GAS,OXT-a,OPC,492.50522515480407
GAS,OXT-a,SAS,125.45224529195902
GAS,OXT-a,XLC,312.01836315456114
GAS,OXT-a,ROW,132.96413964754052
GAS,EIT-a,CHN,772.1789065331336
GAS,EIT-a,XEA,7276.169794021942
GAS,EIT-a,USA,9702.38562952472
GAS,EIT-a,RUS,19115.74664924736
GAS,EIT-a,EUR,4970.3675567103355
GAS,EIT-a,XOE,4441.6639972234025
GAS,EIT-a,OPC,14727.44458832821
GAS,EIT-a,SAS,5552.274078455823
GAS,EIT-a,XLC,3446.7489286273294
GAS,EIT-a,ROW,5201.146903296268
GAS,XMN-a,CHN,527.596438571676
GAS,XMN-a,XEA,1120.3563289563701
GAS,XMN-a,USA,5240.93299614412
GAS,XMN-a,RUS,1103.6364713798328
GAS,XMN-a,EUR,2213.2800343486188
GAS,XMN-a,XOE,572.2702127661976
GAS,XMN-a,OPC,2223.9089233253408
GAS,XMN-a,SAS,1243.1525202261828
GAS,XMN-a,XLC,561.0336836078251
GAS,XMN-a,ROW,1438.0447378078213
GAS,P_C-a,CHN,183.3879710461069
GAS,P_C-a,XEA,4836.047376496665
GAS,P_C-a,USA,4930.691044039562
GAS,P_C-a,RUS,4316.111970279652
GAS,P_C-a,EUR,5530.014713156419
GAS,P_C-a,XOE,2977.2791702487066
GAS,P_C-a,OPC,24661.360827711298
GAS,P_C-a,SAS,1458.5740609574566
