COMM,ACTS,REG,value
ELY,NUC-a,XOE,20576.962281553133
ELY,NUC-a,OPC,2813.262533400647
ELY,NUC-a,SAS,3539.2212741000853
ELY,NUC-a,XLC,741.3904578952481
ELY,NUC-a,ROW,24137.553733767938
ELY,HYD-a,CHN,41875.4998153723
ELY,HYD-a,XEA,7188.523216646219
ELY,HYD-a,USA,33935.12592422876
ELY,HYD-a,RUS,1748.605197032862
ELY,HYD-a,EUR,49144.14800585259
ELY,HYD-a,XOE,49583.1551221221
ELY,HYD-a,OPC,35190.21444991572
ELY,HYD-a,SAS,13269.302676313628
ELY,HYD-a,XLC,12517.852331285983
ELY,HYD-a,ROW,18776.16767050383
ELY,SOL-a,CHN,173.24983878433696
ELY,SOL-a,XEA,13.438531657602402
ELY,SOL-a,USA,1298.095403844102
ELY,SOL-a,EUR,18765.711778794754
ELY,SOL-a,XOE,2874.7613442885186
ELY,SOL-a,SAS,159.60339241800716
ELY,SOL-a,XLC,8.012067173596892
ELY,SOL-a,ROW,107.78044880766662
ELY,WND-a,CHN,4256.360919034449
ELY,WND-a,XEA,58.110165275327134
ELY,WND-a,USA,10444.755475036882
ELY,WND-a,RUS,0.028814904895216136
ELY,WND-a,EUR,35933.46281111231
ELY,WND-a,XOE,3337.5466846404615
ELY,WND-a,OPC,750.5452563724874
ELY,WND-a,SAS,2664.017414522462
ELY,WND-a,XLC,239.28108293660233
ELY,WND-a,ROW,1344.7068421670676
ELY,XEL-a,CHN,5482.689480960255
ELY,XEL-a,XEA,1759.1475802594177
ELY,XEL-a,USA,7975.315544752975
ELY,XEL-a,RUS,127.04223118052913
ELY,XEL-a,EUR,37760.37598601848
ELY,XEL-a,XOE,11386.01988055776
ELY,XEL-a,OPC,5597.0866587810215
ELY,XEL-a,SAS,2567.371120378272
ELY,XEL-a,XLC,2906.62877091639
ELY,XEL-a,ROW,653.3000378197206
