ACTS,REG,value
XEL-a,USA,1.2599999904632568
XEL-a,RUS,1.259999990463257
XEL-a,EUR,1.2599999904632564
XEL-a,XOE,1.259999990463257
XEL-a,OPC,1.2599999904632568
XEL-a,SAS,1.2599999904632566
XEL-a,XLC,1.2599999904632566
XEL-a,ROW,1.2599999904632564
SRV-a,CHN,1.392687218583644
SRV-a,XEA,1.4229085159097083
SRV-a,USA,1.3532894086600882
SRV-a,RUS,1.451306030869181
SRV-a,EUR,1.3361854832745412
SRV-a,XOE,1.3726990770256835
SRV-a,OPC,1.3841261751386447
SRV-a,SAS,1.4355861572591153
SRV-a,XLC,1.387532966134879
SRV-a,ROW,1.3923481942680087
