REG,value
CHN,26018940.50209577
XEA,10240341.103380485
USA,48068045.87619403
RUS,6738280.923022358
EUR,61435221.95938341
XOE,40914178.92730956
OPC,19439415.80760147
SAS,5539764.384744219
XLC,9349311.09600888
ROW,8231177.4498133715
