MARG,COMM,SRC,DST,value
SRV,FRS,CHN,XEA,2.904800346230952
SRV,FRS,CHN,USA,7.933561322275071
SRV,FRS,CHN,RUS,0.03937698085751787
SRV,FRS,CHN,EUR,12.109305911567574
SRV,FRS,CHN,XOE,13.90918100743889
SRV,FRS,CHN,OPC,0.49919469260054694
SRV,FRS,CHN,SAS,3.6422942863572763
SRV,FRS,CHN,XLC,0.3021255657507056
SRV,FRS,CHN,ROW,0.7732181562415512
SRV,FRS,XEA,CHN,172.15599841500926
SRV,FRS,XEA,XEA,69.06994166325235
SRV,FRS,XEA,USA,2.725096848581213
SRV,FRS,XEA,RUS,0.004534580272127908
SRV,FRS,XEA,EUR,8.9919716007725
SRV,FRS,XEA,XOE,24.444576172832377
SRV,FRS,XEA,OPC,0.7425358463729691
SRV,FRS,XEA,SAS,135.97167125731426
SRV,FRS,XEA,XLC,0.2767274598868469
SRV,FRS,XEA,ROW,0.9804192814620244
SRV,FRS,USA,CHN,110.96799407398937
SRV,FRS,USA,XEA,8.971663477032475
SRV,FRS,USA,RUS,0.5305016767409229
SRV,FRS,USA,EUR,9.532725698465166
SRV,FRS,USA,XOE,128.32049546258784
SRV,FRS,USA,OPC,3.2731101473692767
SRV,FRS,USA,SAS,1.2860494108511524
SRV,FRS,USA,XLC,6.7553116103562525
SRV,FRS,USA,ROW,1.9359946380391275
SRV,FRS,RUS,CHN,208.77889527338507
SRV,FRS,RUS,XEA,0.05926785163013025
SRV,FRS,RUS,EUR,44.73799371275022
SRV,FRS,RUS,XOE,20.71626542273621
SRV,FRS,RUS,OPC,0.24839356942334753
SRV,FRS,RUS,SAS,0.002061001447940143
SRV,FRS,RUS,ROW,6.1696551683040095
SRV,FRS,EUR,CHN,29.782915725115352
SRV,FRS,EUR,XEA,3.412117195474028
SRV,FRS,EUR,USA,10.117776765560457
SRV,FRS,EUR,RUS,4.139938358771181
SRV,FRS,EUR,EUR,360.971386214974
SRV,FRS,EUR,XOE,3.409483803054163
SRV,FRS,EUR,OPC,14.650405570470276
SRV,FRS,EUR,SAS,4.543447870835523
SRV,FRS,EUR,XLC,1.0202614483580488
SRV,FRS,EUR,ROW,14.04288813634402
SRV,FRS,XOE,CHN,266.1483280782153
SRV,FRS,XOE,XEA,5.330656690986435
SRV,FRS,XOE,USA,19.456457208553758
SRV,FRS,XOE,RUS,0.005095998531408269
SRV,FRS,XOE,EUR,2.6000260866880467
SRV,FRS,XOE,XOE,142.86431266807386
SRV,FRS,XOE,OPC,0.25003627859725863
SRV,FRS,XOE,SAS,30.212023717453356
SRV,FRS,XOE,XLC,0.741488472103884
SRV,FRS,XOE,ROW,1.3087105654959792
SRV,FRS,OPC,CHN,29.785337151992266
SRV,FRS,OPC,XEA,2.291754718353531
SRV,FRS,OPC,USA,0.5212174975161772
SRV,FRS,OPC,RUS,0.047111613084207506
SRV,FRS,OPC,EUR,12.470291769535216
SRV,FRS,OPC,XOE,0.1559034742443679
SRV,FRS,OPC,OPC,2.538518376751407
SRV,FRS,OPC,SAS,8.016775444716101
SRV,FRS,OPC,XLC,0.5416954017718185
SRV,FRS,OPC,ROW,1.7844003633308891
SRV,FRS,SAS,CHN,0.7131968621953686
SRV,FRS,SAS,XEA,1.043905527820198
SRV,FRS,SAS,USA,3.5965965856505466
SRV,FRS,SAS,RUS,0.0793639744857159
SRV,FRS,SAS,EUR,9.551689920138076
SRV,FRS,SAS,XOE,2.39785461846431
SRV,FRS,SAS,OPC,1.5913858715200921
SRV,FRS,SAS,SAS,8.07748606474463
SRV,FRS,SAS,XLC,0.24847180441141029
SRV,FRS,SAS,ROW,1.5567873473433307
SRV,FRS,XLC,CHN,13.396351055912339
SRV,FRS,XLC,XEA,5.203628168828595
SRV,FRS,XLC,USA,15.408322245002877
SRV,FRS,XLC,RUS,0.18172270424583029
SRV,FRS,XLC,EUR,27.26825736813087
SRV,FRS,XLC,XOE,3.768669665562511
SRV,FRS,XLC,OPC,1.0281317627441944
SRV,FRS,XLC,SAS,17.81852607642086
SRV,FRS,XLC,XLC,2.415382843396013
SRV,FRS,XLC,ROW,0.23994534743458637
SRV,FRS,ROW,CHN,77.46845978397099
SRV,FRS,ROW,XEA,13.177729521921076
SRV,FRS,ROW,USA,2.6451767896390828
SRV,FRS,ROW,RUS,2.046579759809186
SRV,FRS,ROW,EUR,100.2586933090233
SRV,FRS,ROW,XOE,2.135328961987803
SRV,FRS,ROW,OPC,2.2949500172591546
SRV,FRS,ROW,SAS,20.135143129962195
SRV,FRS,ROW,XLC,0.19070674530858767
SRV,FRS,ROW,ROW,40.46528348284264
SRV,COA,CHN,XEA,86.91149244132039
SRV,COA,CHN,USA,0.6249742219322825
SRV,COA,CHN,RUS,0.0012645463279299446
SRV,COA,CHN,EUR,0.5501296946167505
SRV,COA,CHN,XOE,106.1967734437696
SRV,COA,CHN,OPC,0.031052658264512114
SRV,COA,CHN,SAS,8.567649463920171
SRV,COA,CHN,XLC,0.0017622820080960004
SRV,COA,CHN,ROW,0.055014602217062586
SRV,COA,XEA,CHN,1465.5751179687456
SRV,COA,XEA,XEA,1011.7474787088565
SRV,COA,XEA,USA,8.06047767063612
SRV,COA,XEA,RUS,0.6890019369461059
SRV,COA,XEA,EUR,129.5887086157663
SRV,COA,XEA,XOE,1007.5714395027856
