COMM,REG,value
FRS,CHN,0.934915781021118
FRS,XEA,0.9425748192640646
FRS,USA,0.98286908864975
FRS,RUS,1.0865060091018677
FRS,EUR,1.058795401639018
FRS,XOE,1.002028530913923
FRS,OPC,1.2251565122811223
FRS,SAS,0.7686172219144325
FRS,XLC,1.0938306146742158
FRS,ROW,0.8527531251909775
COA,CHN,1.025061011314392
COA,XEA,1.0963707172517982
COA,RUS,1.1033129692077637
COA,EUR,1.0825973375560023
COA,XOE,1.0323657753517734
COA,OPC,1.2410890694361525
COA,SAS,0.975321231519852
COA,ROW,1.1458978099507453
OIL,XEA,1.0027063993096588
OIL,EUR,0.9486402874694444
OIL,ROW,1.0456344091246021
GAS,CHN,1.025061011314392
GAS,XEA,1.0206370694170046
GAS,USA,0.9850509166717529
GAS,RUS,1.1033129692077637
GAS,EUR,1.0492409975952333
GAS,XOE,1.007858059942024
GAS,OPC,1.1126216351391565
GAS,SAS,1.1271215366817227
GAS,XLC,1.0506133034788472
GAS,ROW,1.1079789701199063
P_C,CHN,0.8713626265525818
P_C,XEA,0.9119433855074937
P_C,USA,0.8983723521232605
P_C,RUS,0.9416049122810364
P_C,EUR,0.9499899786341698
P_C,XOE,0.8889247131265395
P_C,OPC,0.963543564412148
P_C,SAS,0.9637701685940525
P_C,XLC,0.9549811223300214
P_C,ROW,1.018469941528941
AGR,CHN,0.3809795294838922
AGR,XEA,0.3622514537955237
AGR,USA,0.09521298885864492
AGR,RUS,0.22337278398783775
AGR,EUR,0.04521470293380016
AGR,XOE,0.055181970727771285
AGR,OPC,0.3912565428251108
AGR,SAS,0.5909075309542238
AGR,XLC,0.25090260604791326
AGR,ROW,0.44597011124654695
OXT,CHN,0.9349157810211182
OXT,XEA,0.9604419720577003
OXT,USA,0.9828690886497498
OXT,RUS,1.0865060091018677
OXT,EUR,1.0539622117155583
OXT,XOE,0.998514510838669
OXT,OPC,1.0565783471730255
OXT,SAS,0.9135310876751662
OXT,XLC,1.1144023949547088
OXT,ROW,1.0166275959252553
EIT,CHN,0.934915781021118
EIT,XEA,0.9898805850166358
EIT,USA,0.9828690886497496
EIT,RUS,1.0865060091018677
EIT,EUR,1.048381685831238
EIT,XOE,0.9921329029376762
EIT,OPC,1.0683569106478512
EIT,SAS,0.838404045343893
EIT,XLC,1.081065122970179
EIT,ROW,1.0494717116013728
XMN,CHN,0.578392289845441
XMN,XEA,0.6538438900875565
XMN,USA,0.7332849816877511
XMN,RUS,0.6384933347995538
XMN,EUR,0.7263318660870073
XMN,XOE,0.6180254833057075
XMN,OPC,0.6802914019692227
XMN,SAS,0.7145075882897475
XMN,XLC,0.6266989315634472
XMN,ROW,0.6990520725992713
SRV,CHN,1.3690951940435119
SRV,XEA,1.2671198050612644
SRV,USA,1.0669335484590972
SRV,RUS,1.2743747046303704
SRV,EUR,1.1391612603330505
SRV,XOE,1.1099870122479103
SRV,OPC,1.2697347116848354
SRV,SAS,1.4219960683464794
SRV,XLC,1.2088021743791375
SRV,ROW,1.3245493352301208
ELY,CHN,1.0250610113143923
ELY,XEA,1.0495669948402804
ELY,USA,0.9850509166717529
ELY,RUS,1.1033129692077641
ELY,EUR,1.0525168938340792
ELY,XOE,1.0002714358916474
ELY,OPC,1.1055569518651494
ELY,SAS,1.0587627327407063
ELY,XLC,1.0993829992997597
ELY,ROW,1.1524334531559166
