"Label","Description"
"CHN","China"
"XEA","Rest of East Asia and Pacific"
"USA","United States"
"RUS","Russia"
"EUR","Western Europe"
"XOE","Other HIY OECD"
"OPC","Major oil and gas exporters"
"SAS","South Asia"
"XLC","Rest of Latin America & Caribbean"
"ROW","Rest of the World"
