REG,value
CHN,2634516.880235654
XEA,535613.9571620637
USA,574919.5145632785
RUS,340650.34635087213
EUR,1047139.8336608517
XOE,793323.2388967334
OPC,1097842.9624111762
SAS,286444.9429172794
XLC,295269.0955132115
ROW,169145.40316905075
