Sim,Reg,RLab,CLab,Year,Value
COMP,E27,mtax,agr,0,1529.2309798175104
COMP,E27,agr,USA,0,1547.6682048714738
COMP,E27,agr,E27,0,83938.24763897952
COMP,E27,agr,ROW,0,35728.448667588746
COMP,E27,etax,agr,0,-109.35411644259754
COMP,E27,USA,man,0,240895.8860838581
COMP,E27,E27,man,0,2.57940089383909e6
COMP,E27,ROW,man,0,1.9666458154604079e6
COMP,E27,mtax,man,0,33120.52567330065
COMP,E27,man,USA,0,306658.59885452705
COMP,E27,man,E27,0,2.523312315705392e6
COMP,E27,man,ROW,0,1.7060345310059527e6
COMP,E27,etax,man,0,-2457.2711255388735
COMP,E27,USA,srv,0,146251.1784668144
COMP,E27,E27,srv,0,621919.2942518969
COMP,E27,ROW,srv,0,539369.5691967012
COMP,E27,mtax,srv,0,0.0
COMP,E27,srv,USA,0,116109.93511689609
COMP,E27,srv,E27,0,621919.2942518967
COMP,E27,srv,ROW,0,556375.5348285346
COMP,E27,etax,srv,0,0.0
COMP,E27,USA,BoP,0,424316.20217629464
COMP,E27,E27,BoP,0,3.2291698575962684e6
COMP,E27,ROW,BoP,0,2.2981385145020764e6
COMP,E27,BoP,USA,0,393360.54152508103
COMP,E27,BoP,E27,0,3.289623554910154e6
COMP,E27,BoP,ROW,0,2.5710853003707402e6
COMP,E27,RegY,LAB,0,3.7233664492863943e6
COMP,E27,dtax,LAB,0,1.3713733855496794e6
COMP,E27,RegY,CAP,0,5.22364275824174e6
COMP,E27,dtax,CAP,0,348771.023778046
COMP,E27,hhd,RegY,0,8.91114317509848e6
COMP,E27,inv,RegY,0,849563.7938798865
COMP,E27,gov,RegY,0,3.320237267783095e6
COMP,E27,deprY,RegY,0,2.1228397400508355e6
COMP,E27,inv,deprY,0,2.1228397400508355e6
COMP,E27,agr,hhd,0,134173.73817365416
COMP,E27,agr,gov,0,382.4656192762507
COMP,E27,agr,inv,0,5252.017802083175
COMP,E27,man,hhd,0,2.7475081405226216e6
COMP,E27,man,gov,0,55450.43141283263
COMP,E27,man,inv,0,896627.6710090189
COMP,E27,srv,hhd,0,4.958365400331256e6
COMP,E27,srv,gov,0,3.2635723359905207e6
COMP,E27,srv,inv,0,2.0700035720577037e6
COMP,E27,itax,hhd,0,1.0710958960707628e6
COMP,E27,itax,gov,0,832.0347606302166
COMP,E27,itax,inv,0,12347.554165784288
COMP,E27,agr,tmg,0,0.0
COMP,E27,man,tmg,0,0.0
COMP,E27,srv,tmg,0,290617.82203906344
COMP,E27,tmg,BoP,0,290617.82203906344
COMP,E27,inv,BoP,0,11827.281103840014
COMP,E27,RegY,itax,0,1.3889553883097167e6
COMP,E27,RegY,vtax,0,2.2893135103475326e6
COMP,E27,RegY,ptax,0,826278.3298879453
COMP,E27,RegY,mtax,0,34649.756653118166
COMP,E27,RegY,etax,0,-2566.625241981471
COMP,E27,RegY,dtax,0,1.7201444093277254e6
COMP,ROW,agr,agr-a,0,439906.3244644545
COMP,ROW,man,agr-a,0,598918.7269519977
COMP,ROW,srv,agr-a,0,409617.40503944445
COMP,ROW,LAB,agr-a,0,1.1332070928338205e6
COMP,ROW,CAP,agr-a,0,1.2307267304540242e6
COMP,ROW,itax,agr-a,0,-1522.772582678444
COMP,ROW,vtax,agr-a,0,7938.558381907358
COMP,ROW,agr-a,agr,0,3.81879206554301e6
COMP,ROW,agr-a,man,0,0.0
COMP,ROW,agr-a,srv,0,0.0
COMP,ROW,agr,man-a,0,1.8203502614247885e6
COMP,ROW,man,man-a,0,1.735201851020659e7
COMP,ROW,srv,man-a,0,5.556870744577959e6
COMP,ROW,LAB,man-a,0,3.8350114386959528e6
COMP,ROW,CAP,man-a,0,5.939689409987822e6
COMP,ROW,itax,man-a,0,117026.59921004757
COMP,ROW,vtax,man-a,0,442702.2476208047
COMP,ROW,man-a,agr,0,0.0
COMP,ROW,man-a,man,0,3.5063669211724356e7
COMP,ROW,man-a,srv,0,0.0
COMP,ROW,agr,srv-a,0,244572.51603007477
COMP,ROW,man,srv-a,0,7.380855035352317e6
COMP,ROW,srv,srv-a,0,1.1516401035018597e7
COMP,ROW,LAB,srv-a,0,1.2189072665126638e7
COMP,ROW,CAP,srv-a,0,1.0622879010991659e7
COMP,ROW,itax,srv-a,0,227940.8836185464
COMP,ROW,vtax,srv-a,0,1.605477291214713e6
COMP,ROW,srv-a,agr,0,0.0
COMP,ROW,srv-a,man,0,0.0
COMP,ROW,srv-a,srv,0,4.378719843735266e7
COMP,ROW,ptax,agr,0,-13997.420358019755
COMP,ROW,ptax,man,0,398872.2202298805
COMP,ROW,ptax,srv,0,392028.6232219952
COMP,ROW,USA,agr,0,92484.07481289236
COMP,ROW,E27,agr,0,38674.02672463717
COMP,ROW,ROW,agr,0,224687.80710057373
COMP,ROW,mtax,agr,0,38543.91160057768
COMP,ROW,agr,USA,0,38374.26433205415
COMP,ROW,agr,E27,0,58519.323773084165
COMP,ROW,agr,ROW,0,197868.85593847558
COMP,ROW,etax,agr,0,-110.26865276704552
COMP,ROW,USA,man,0,1.144752199496636e6
COMP,ROW,E27,man,0,1.770770744568385e6
COMP,ROW,ROW,man,0,6.297942005161408e6
COMP,ROW,mtax,man,0,376521.8632517108
COMP,ROW,man,USA,0,1.8377267148998855e6
COMP,ROW,man,E27,0,1.8849954964601211e6
COMP,ROW,man,ROW,0,5.9405297228002455e6
COMP,ROW,etax,man,0,246565.142412625
COMP,ROW,USA,srv,0,281430.67036514543
COMP,ROW,E27,srv,0,556375.5348285349
COMP,ROW,ROW,srv,0,815971.0879072105
COMP,ROW,mtax,srv,0,27.682350808598144
COMP,ROW,srv,USA,0,272746.8387899653
COMP,ROW,srv,E27,0,539369.5691967006
COMP,ROW,srv,ROW,0,815971.0879072096
COMP,ROW,etax,srv,0,0.0
COMP,ROW,USA,BoP,0,2.1488478180219047e6
COMP,ROW,E27,BoP,0,2.482884389429906e6
COMP,ROW,ROW,BoP,0,6.95436966664593e6
COMP,ROW,BoP,USA,0,1.5186669446746737e6
COMP,ROW,BoP,E27,0,2.365820306121557e6
COMP,ROW,BoP,ROW,0,7.338600900169192e6
COMP,ROW,RegY,LAB,0,1.5302322309558995e7
COMP,ROW,dtax,LAB,0,1.8549688870974348e6
COMP,ROW,RegY,CAP,0,1.6639142671589471e7
COMP,ROW,dtax,CAP,0,1.1541524798440493e6
COMP,ROW,hhd,RegY,0,2.2325032381576158e7
COMP,ROW,inv,RegY,0,6.350374094089928e6
COMP,ROW,gov,RegY,0,6.670741713841145e6
COMP,ROW,deprY,RegY,0,5.393422492569771e6
COMP,ROW,inv,deprY,0,5.393422492569771e6
COMP,ROW,agr,hhd,0,1.2831350946147828e6
COMP,ROW,agr,gov,0,6342.902589456649
COMP,ROW,agr,inv,0,110004.63705076704
COMP,ROW,man,hhd,0,6.622506695836843e6
COMP,ROW,man,gov,0,120463.98356245924
COMP,ROW,man,inv,0,3.5610776081918865e6
COMP,ROW,srv,hhd,0,1.2969105186054865e7
COMP,ROW,srv,gov,0,6.514761380564899e6
COMP,ROW,srv,inv,0,6.793362538727233e6
COMP,ROW,itax,hhd,0,1.450285405069229e6
COMP,ROW,itax,gov,0,29173.447124612518
COMP,ROW,itax,inv,0,471510.92027244595
COMP,ROW,agr,tmg,0,0.0
COMP,ROW,man,tmg,0,0.0
COMP,ROW,srv,tmg,0,444826.2575658762
COMP,ROW,tmg,BoP,0,444826.2575658762
COMP,ROW,inv,BoP,0,-807840.8824181854
COMP,ROW,RegY,itax,0,2.2944144827122027e6
COMP,ROW,RegY,vtax,0,2.056118097217425e6
COMP,ROW,RegY,ptax,0,776903.4230938558
COMP,ROW,RegY,mtax,0,415093.45720309706
COMP,ROW,RegY,etax,0,246454.87375985793
COMP,ROW,RegY,dtax,0,3.009121366941484e6
COMP,USA,agr,agr-a,1,58229.045347003645
COMP,USA,man,agr-a,1,108812.91973908729
COMP,USA,srv,agr-a,1,129355.14770931822
COMP,USA,LAB,agr-a,1,73834.66802119097
COMP,USA,CAP,agr-a,1,140682.5531081121
COMP,USA,itax,agr-a,1,-7876.119216541074
COMP,USA,vtax,agr-a,1,-9080.468256977732
COMP,USA,agr-a,agr,1,493957.7463445874
COMP,USA,agr-a,man,1,0.0
COMP,USA,agr-a,srv,1,0.0
COMP,USA,agr,man-a,1,253404.7522422409
COMP,USA,man,man-a,1,4.121686353344135e6
COMP,USA,srv,man-a,1,1.850440482692927e6
COMP,USA,LAB,man-a,1,1.852627100569864e6
COMP,USA,CAP,man-a,1,972173.8780254341
COMP,USA,itax,man-a,1,22689.297746275915
COMP,USA,vtax,man-a,1,311796.35235454247
COMP,USA,man-a,agr,1,0.0
COMP,USA,man-a,man,1,9.384818215170668e6
COMP,USA,man-a,srv,1,0.0
COMP,USA,agr,srv-a,1,40304.912010019565
COMP,USA,man,srv-a,1,2.4896654164310363e6
COMP,USA,srv,srv-a,1,6.606617871269263e6
COMP,USA,LAB,srv-a,1,8.884074365731314e6
COMP,USA,CAP,srv-a,1,3.7247307029231717e6
COMP,USA,itax,srv-a,1,67617.46098624117
COMP,USA,vtax,srv-a,1,1.4647061633564297e6
COMP,USA,srv-a,agr,1,0.0
COMP,USA,srv-a,man,1,0.0
COMP,USA,srv-a,srv,1,2.3277716890827365e7
COMP,USA,ptax,agr,1,1565.8333492344977
COMP,USA,ptax,man,1,106873.47698196842
COMP,USA,ptax,srv,1,665530.207628831
COMP,USA,USA,agr,1,0.0
COMP,USA,E27,agr,1,2110.0951266262705
COMP,USA,ROW,agr,1,55363.82105572167
COMP,USA,mtax,agr,1,319.152993088956
COMP,USA,agr,USA,1,0.0
COMP,USA,agr,E27,1,7262.501176550179
COMP,USA,agr,ROW,1,97245.51958763883
COMP,USA,etax,agr,1,0.0016502108799200915
COMP,USA,USA,man,1,0.0
COMP,USA,E27,man,1,380030.5325733518
COMP,USA,ROW,man,1,2.308000618757473e6
COMP,USA,mtax,man,1,35255.13057768773
COMP,USA,man,USA,1,0.0
COMP,USA,man,E27,1,282926.44141571684
COMP,USA,man,ROW,1,1.3075608312733495e6
COMP,USA,etax,man,1,4937.203490038035
COMP,USA,USA,srv,1,0.0
COMP,USA,E27,srv,1,139331.927710035
COMP,USA,ROW,srv,1,327296.21317291824
COMP,USA,mtax,srv,1,0.0
COMP,USA,srv,USA,1,0.0
COMP,USA,srv,E27,1,175501.40365319734
COMP,USA,srv,ROW,1,337716.79164215195
COMP,USA,etax,srv,1,0.0
COMP,USA,USA,BoP,1,0.0
COMP,USA,E27,BoP,1,465690.34624546434
COMP,USA,ROW,BoP,1,1.7425231425031405e6
COMP,USA,BoP,USA,1,0.0
COMP,USA,BoP,E27,1,521472.555410013
COMP,USA,BoP,ROW,1,2.6906606529861125e6
COMP,USA,RegY,LAB,1,8.501400532180438e6
COMP,USA,dtax,LAB,1,2.309135601876921e6
COMP,USA,RegY,CAP,1,4.443756511348481e6
COMP,USA,dtax,CAP,1,393830.6225820021
COMP,USA,hhd,RegY,1,1.3065155211346695e7
COMP,USA,inv,RegY,1,187040.9289588474
COMP,USA,gov,RegY,1,3.0810847817896456e6
COMP,USA,deprY,RegY,1,2.3072667855604626e6
COMP,USA,inv,deprY,1,2.3072667855604626e6
COMP,USA,agr,hhd,1,96538.37473291166
COMP,USA,agr,gov,1,167.69902923909035
COMP,USA,agr,inv,1,163.8501033481331
COMP,USA,man,hhd,1,2.5388071640517544e6
COMP,USA,man,gov,1,3916.906405872134
COMP,USA,man,inv,1,1.366539283599741e6
COMP,USA,srv,hhd,1,1.012513308303189e7
COMP,USA,srv,gov,1,3.077000136571864e6
COMP,USA,srv,inv,1,2.0594068406747775e6
COMP,USA,itax,hhd,1,304676.5901499957
COMP,USA,itax,gov,1,0.029684841286911866
COMP,USA,itax,inv,1,23414.132954923018
COMP,USA,agr,tmg,1,0.0
COMP,USA,man,tmg,1,0.0
COMP,USA,srv,tmg,1,48703.53336658917
COMP,USA,tmg,BoP,1,48703.53336658917
COMP,USA,inv,BoP,1,955216.3215772143
COMP,USA,RegY,itax,1,410521.392305736
COMP,USA,RegY,vtax,1,1.7674220474539944e6
COMP,USA,RegY,ptax,1,773969.517960034
COMP,USA,RegY,mtax,1,35574.283570776686
COMP,USA,RegY,etax,1,4937.205140248915
COMP,USA,RegY,dtax,1,2.702966224458923e6
COMP,E27,agr,agr-a,1,71009.9199864348
COMP,E27,man,agr-a,1,133883.56833298842
COMP,E27,srv,agr-a,1,88127.61900150731
COMP,E27,LAB,agr-a,1,143300.9174185924
COMP,E27,CAP,agr-a,1,138232.45581497913
COMP,E27,itax,agr-a,1,10096.613828162404
COMP,E27,vtax,agr-a,1,58618.57144082058
COMP,E27,agr-a,agr,1,643269.6659169674
COMP,E27,agr-a,man,1,0.0
COMP,E27,agr-a,srv,1,0.0
COMP,E27,agr,man-a,1,389403.0240250866
COMP,E27,man,man-a,1,6.105225513058338e6
COMP,E27,srv,man-a,1,2.4676780075263595e6
COMP,E27,LAB,man-a,1,1.5748135968201235e6
COMP,E27,CAP,man-a,1,1.41772179918508e6
COMP,E27,itax,man-a,1,108794.91048094425
COMP,E27,vtax,man-a,1,701680.38308914
COMP,E27,man-a,agr,1,0.0
COMP,E27,man-a,man,1,1.2765317236303104e7
COMP,E27,man-a,srv,1,0.0
COMP,E27,agr,srv-a,1,64990.01154467613
COMP,E27,man,srv-a,1,3.11247898230088e6
COMP,E27,srv,srv-a,1,6.846234820589585e6
COMP,E27,LAB,srv-a,1,4.395573228691987e6
COMP,E27,CAP,srv-a,1,5.130942213533035e6
COMP,E27,itax,srv-a,1,246724.3578749885
COMP,E27,vtax,srv-a,1,1.986877231211951e6
COMP,E27,srv-a,agr,1,0.0
COMP,E27,srv-a,man,1,0.0
COMP,E27,srv-a,srv,1,2.1783820847103775e7
COMP,E27,ptax,agr,1,2152.430285753437
COMP,E27,ptax,man,1,687853.5683477394
COMP,E27,ptax,srv,1,301527.9987023987
COMP,E27,USA,agr,1,7456.17192779975
COMP,E27,E27,agr,1,105964.04095097518
COMP,E27,ROW,agr,1,78083.89758541895
COMP,E27,mtax,agr,1,1835.0771364775762
COMP,E27,agr,USA,1,1857.2019047828483
COMP,E27,agr,E27,1,100725.89787077169
COMP,E27,agr,ROW,1,42874.139624024705
COMP,E27,etax,agr,1,-131.2249433048738
COMP,E27,USA,man,1,289075.03679194103
COMP,E27,E27,man,1,3.095281112514209e6
COMP,E27,ROW,man,1,2.359974918636288e6
