Sim,Var,Reg,RLab,CLab,Year,Value
COMP,PO,E27,man-a,,Base,1.0
COMP,QCA,E27,agr,man-a,Comp,0.0
COMP,QCA,E27,agr,man-a,Base,0.0
COMP,PS,E27,agr,man-a,Comp,1.0
COMP,PS,E27,agr,man-a,Base,1.0
COMP,PCA,E27,agr,man-a,Comp,1.0
COMP,PCA,E27,agr,man-a,Base,1.0
COMP,QCA,E27,man,man-a,Comp,1.0650228802240605e7
COMP,QCA,E27,man,man-a,Base,1.0637764026758036e7
COMP,PS,E27,man,man-a,Comp,1.1979457124582844
COMP,PS,E27,man,man-a,Base,1.0
COMP,PCA,E27,man,man-a,Comp,1.2624964946407613
COMP,PCA,E27,man,man-a,Base,1.053884565155307
COMP,QCA,E27,srv,man-a,Comp,0.0
COMP,QCA,E27,srv,man-a,Base,0.0
COMP,PS,E27,srv,man-a,Comp,1.0
COMP,PS,E27,srv,man-a,Base,1.0
COMP,PCA,E27,srv,man-a,Comp,1.0
COMP,PCA,E27,srv,man-a,Base,1.0
COMP,QO,E27,srv-a,,Comp,1.8146419843522288e7
COMP,QO,E27,srv-a,,Base,1.815318554568606e7
COMP,PO,E27,srv-a,,Comp,1.1985376375581573
COMP,PO,E27,srv-a,,Base,1.0
COMP,QCA,E27,agr,srv-a,Comp,0.0
COMP,QCA,E27,agr,srv-a,Base,0.0
COMP,PS,E27,agr,srv-a,Comp,1.0
COMP,PS,E27,agr,srv-a,Base,1.0
COMP,PCA,E27,agr,srv-a,Comp,1.0
COMP,PCA,E27,agr,srv-a,Base,1.0
COMP,QCA,E27,man,srv-a,Comp,0.0
COMP,QCA,E27,man,srv-a,Base,0.0
COMP,PS,E27,man,srv-a,Comp,1.0
COMP,PS,E27,man,srv-a,Base,1.0
COMP,PCA,E27,man,srv-a,Comp,1.0
COMP,PCA,E27,man,srv-a,Base,1.0
COMP,QCA,E27,srv,srv-a,Comp,1.814641984409477e7
COMP,QCA,E27,srv,srv-a,Base,1.8153185545686062e7
COMP,PS,E27,srv,srv-a,Comp,1.1985376375580052
COMP,PS,E27,srv,srv-a,Base,1.0
COMP,PCA,E27,srv,srv-a,Comp,1.215127593214729
COMP,PCA,E27,srv,srv-a,Base,1.0138418324690954
COMP,QC,E27,agr,,Comp,537809.9006310587
COMP,QC,E27,agr,,Base,537851.7350146751
COMP,PDS,E27,agr,,Comp,1.1983017988906488
COMP,PDS,E27,agr,,Base,1.0
COMP,QC,E27,man,,Comp,1.1224111714622395e7
COMP,QC,E27,man,,Base,1.1210975315564662e7
COMP,PDS,E27,man,,Comp,1.197945712464653
COMP,PDS,E27,man,,Base,1.0
COMP,QC,E27,srv,,Comp,1.8397599491179395e7
COMP,QC,E27,srv,,Base,1.8404458898789857e7
COMP,PDS,E27,srv,,Comp,1.1985376375644583
COMP,PDS,E27,srv,,Base,1.0
COMP,QO,ROW,agr-a,,Comp,3.818253199872047e6
COMP,QO,ROW,agr-a,,Base,3.818791945875344e6
COMP,PO,ROW,agr-a,,Comp,1.199972156847441
COMP,PO,ROW,agr-a,,Base,1.0
COMP,QCA,ROW,agr,agr-a,Comp,3.8182531998832333e6
COMP,QCA,ROW,agr,agr-a,Base,3.818791945875352e6
COMP,PS,ROW,agr,agr-a,Comp,1.199972156847231
COMP,PS,ROW,agr,agr-a,Base,1.0
COMP,PCA,ROW,agr,agr-a,Comp,1.1955737711980323
COMP,PCA,ROW,agr,agr-a,Base,0.9963345947834347
COMP,QCA,ROW,man,agr-a,Comp,0.0
COMP,QCA,ROW,man,agr-a,Base,0.0
COMP,PS,ROW,man,agr-a,Comp,1.0
COMP,PS,ROW,man,agr-a,Base,1.0
COMP,PCA,ROW,man,agr-a,Comp,1.0
COMP,PCA,ROW,man,agr-a,Base,1.0
COMP,QCA,ROW,srv,agr-a,Comp,0.0
COMP,QCA,ROW,srv,agr-a,Base,0.0
COMP,PS,ROW,srv,agr-a,Comp,1.0
COMP,PS,ROW,srv,agr-a,Base,1.0
COMP,PCA,ROW,srv,agr-a,Comp,1.0
COMP,PCA,ROW,srv,agr-a,Base,1.0
COMP,QO,ROW,man-a,,Comp,3.507125635461985e7
COMP,QO,ROW,man-a,,Base,3.506366707177556e7
COMP,PO,ROW,man-a,,Comp,1.199075595789532
COMP,PO,ROW,man-a,,Base,1.0
COMP,QCA,ROW,agr,man-a,Comp,0.0
COMP,QCA,ROW,agr,man-a,Base,0.0
COMP,PS,ROW,agr,man-a,Comp,1.0
COMP,PS,ROW,agr,man-a,Base,1.0
COMP,PCA,ROW,agr,man-a,Comp,1.0
COMP,PCA,ROW,agr,man-a,Base,1.0
COMP,QCA,ROW,man,man-a,Comp,3.5071256354572095e7
COMP,QCA,ROW,man,man-a,Base,3.506366707177562e7
COMP,PS,ROW,man,man-a,Comp,1.1990755957897106
COMP,PS,ROW,man,man-a,Base,1.0
COMP,PCA,ROW,man,man-a,Comp,1.212715865051698
COMP,PCA,ROW,man,man-a,Base,1.0113756554632483
COMP,QCA,ROW,srv,man-a,Comp,0.0
COMP,QCA,ROW,srv,man-a,Base,0.0
COMP,PS,ROW,srv,man-a,Comp,1.0
COMP,PS,ROW,srv,man-a,Base,1.0
COMP,PCA,ROW,srv,man-a,Comp,1.0
COMP,PCA,ROW,srv,man-a,Base,1.0
COMP,QO,ROW,srv-a,,Comp,4.3783784608936444e7
COMP,QO,ROW,srv-a,,Base,4.37872058969658e7
COMP,PO,ROW,srv-a,,Comp,1.1999515856039629
COMP,PO,ROW,srv-a,,Base,1.0
COMP,QCA,ROW,agr,srv-a,Comp,0.0
COMP,QCA,ROW,agr,srv-a,Base,0.0
COMP,PS,ROW,agr,srv-a,Comp,1.0
COMP,PS,ROW,agr,srv-a,Base,1.0
COMP,PCA,ROW,agr,srv-a,Comp,1.0
COMP,PCA,ROW,agr,srv-a,Base,1.0
COMP,QCA,ROW,man,srv-a,Comp,0.0
COMP,QCA,ROW,man,srv-a,Base,0.0
COMP,PS,ROW,man,srv-a,Comp,1.0
COMP,PS,ROW,man,srv-a,Base,1.0
COMP,PCA,ROW,man,srv-a,Comp,1.0
COMP,PCA,ROW,man,srv-a,Base,1.0
COMP,QCA,ROW,srv,srv-a,Comp,4.3783784613587596e7
COMP,QCA,ROW,srv,srv-a,Base,4.3787205896965824e7
COMP,PS,ROW,srv,srv-a,Comp,1.1999515856066933
COMP,PS,ROW,srv,srv-a,Base,1.0
COMP,PCA,ROW,srv,srv-a,Comp,1.2106948010044656
COMP,PCA,ROW,srv,srv-a,Base,1.0089530419212107
COMP,QC,ROW,agr,,Comp,3.804257742937542e6
COMP,QC,ROW,agr,,Base,3.8047945259559625e6
COMP,PDS,ROW,agr,,Comp,1.199972156853906
COMP,PDS,ROW,agr,,Base,1.0
COMP,QC,ROW,man,,Comp,3.547021477366487e7
COMP,QC,ROW,man,,Base,3.546253926766219e7
COMP,PDS,ROW,man,,Comp,1.1990755957960322
COMP,PDS,ROW,man,,Base,1.0
COMP,QC,ROW,srv,,Comp,4.417578253866109e7
COMP,QC,ROW,srv,,Base,4.417923458697404e7
COMP,PDS,ROW,srv,,Comp,1.199951585613399
COMP,PDS,ROW,srv,,Base,1.0
