COMM,REG,value
agr,USA,61839.72426426411
agr,E27,80029.08531225813
agr,ROW,1174067.205339152
man,USA,1532146.4876696728
man,E27,1753517.9451047168
man,ROW,5000340.09685856
srv,USA,8354153.446380615
srv,E27,4573623.301340155
srv,ROW,12505701.153363694
