COMM,ACTS,REG,value
agr,agr-a,USA,412936.4665631438
agr,agr-a,E27,537851.7350146751
agr,agr-a,ROW,3804794.525955963
man,man-a,USA,7909745.243555004
man,man-a,E27,11210975.315564662
man,man-a,ROW,35462539.26766219
srv,srv-a,USA,19952697.563114673
srv,srv-a,E27,18404458.898789857
srv,srv-a,ROW,44179234.58697405
