COMM,REG,value
agr,USA,10.181148167300336
agr,E27,1106.5185047105062
agr,ROW,4431.315129100526
man,USA,334280.37907555565
man,E27,454179.9859574073
man,ROW,1354368.2605121674
srv,USA,8811.481393312444
srv,E27,86934.95202766494
srv,ROW,105677.44635798864
