variable,value
"qint[COA-a,SAS]",0.9999999991627655
"qint[OIL-a,SAS]",0.9999999928840674
"qint[GAS-a,SAS]",0.999999997585258
"qint[OXT-a,SAS]",1.0000000003972296
"qint[EIT-a,SAS]",0.9999995359802281
"qint[XMN-a,SAS]",0.9999995427012894
"qint[P_C-a,SAS]",0.9999999276279556
"qint[ETD-a,SAS]",1.0000991058607358
"qint[CLP-a,SAS]",1.000000146658233
"qint[OLP-a,SAS]",1.0001083244255689
"qint[GSP-a,SAS]",1.0000000775357911
"qint[NUC-a,SAS]",0.9986002988840178
"qint[HYD-a,SAS]",1.0038170317101764
"qint[SOL-a,SAS]",0.7156096803176326
"qint[WND-a,SAS]",1.002320563249458
"qint[XEL-a,SAS]",0.9969419374666116
"qint[SRV-a,SAS]",0.9999998730149199
"qint[AGR-a,XLC]",0.9999999753497177
"qint[FRS-a,XLC]",1.000000041524686
"qint[COA-a,XLC]",0.9999999998695749
"qint[OIL-a,XLC]",0.9999999996640491
"qint[GAS-a,XLC]",1.0000000006779748
"qint[OXT-a,XLC]",0.9999999701979753
"qint[EIT-a,XLC]",0.9999996112040254
"qint[XMN-a,XLC]",0.9999999393486483
"qint[P_C-a,XLC]",1.0000009065360964
"qint[ETD-a,XLC]",1.0001506991135118
"qint[CLP-a,XLC]",0.9999989287032485
"qint[OLP-a,XLC]",0.9999295740958606
"qint[GSP-a,XLC]",0.9999998660338638
"qint[NUC-a,XLC]",0.9926676530033621
"qint[HYD-a,XLC]",0.9994571027824298
"qint[SOL-a,XLC]",1.5003598879473397
"qint[WND-a,XLC]",1.0090631447169176
"qint[XEL-a,XLC]",1.001751225431231
"qint[SRV-a,XLC]",1.0000000300177416
"qint[AGR-a,ROW]",1.0000000600889727
"qint[FRS-a,ROW]",0.9999999241745261
"qint[COA-a,ROW]",1.0000000003787939
"qint[OIL-a,ROW]",1.0000000027031901
"qint[GAS-a,ROW]",1.000000003188996
"qint[OXT-a,ROW]",1.0000001497243531
"qint[EIT-a,ROW]",1.000000015738013
"qint[XMN-a,ROW]",0.9999988238513275
"qint[P_C-a,ROW]",0.9999892985241967
"qint[ETD-a,ROW]",0.9994236934757385
"qint[CLP-a,ROW]",1.0000041119826815
"qint[OLP-a,ROW]",1.0039475628805146
"qint[GSP-a,ROW]",1.0000010901293443
"qint[NUC-a,ROW]",1.0021071506644539
"qint[HYD-a,ROW]",1.0079397792213198
"qint[SOL-a,ROW]",0.5962692395006643
"qint[WND-a,ROW]",0.9728452215144253
"qint[XEL-a,ROW]",0.7689280035357077
"qint[SRV-a,ROW]",1.000000956699314
"qva[AGR-a,CHN]",1.0000000103610511
"qva[FRS-a,CHN]",0.9999999923700523
"qva[COA-a,CHN]",1.0000000002397367
"qva[OIL-a,CHN]",1.0000000001449747
"qva[GAS-a,CHN]",0.9999994666782253
"qva[OXT-a,CHN]",0.9999999970661549
"qva[EIT-a,CHN]",0.999999971581866
"qva[XMN-a,CHN]",0.9999999971389398
"qva[P_C-a,CHN]",0.9999986928414392
"qva[ETD-a,CHN]",0.9998603639935114
"qva[CLP-a,CHN]",1.0000004545294021
"qva[OLP-a,CHN]",1.0021233318462548
"qva[GSP-a,CHN]",0.999992087667462
"qva[NUC-a,CHN]",1.000647536267336
"qva[HYD-a,CHN]",1.0005106785382918
"qva[SOL-a,CHN]",0.9345900539129947
"qva[WND-a,CHN]",1.0022554282017382
"qva[XEL-a,CHN]",0.9963412254413184
"qva[SRV-a,CHN]",0.9999999092512615
"qva[AGR-a,XEA]",0.9999999575381384
"qva[FRS-a,XEA]",0.999999989256471
"qva[COA-a,XEA]",0.9999999991893759
"qva[OIL-a,XEA]",0.999999994527689
"qva[GAS-a,XEA]",0.9999999975285716
"qva[OXT-a,XEA]",1.0000000231481745
"qva[EIT-a,XEA]",0.9999999454541163
"qva[XMN-a,XEA]",0.9999999158703832
"qva[P_C-a,XEA]",0.9999997861479992
"qva[ETD-a,XEA]",1.0003040613007588
"qva[CLP-a,XEA]",0.9999999520560453
"qva[OLP-a,XEA]",1.0000410535747617
"qva[GSP-a,XEA]",0.9999999098887876
"qva[NUC-a,XEA]",0.9975857859766016
"qva[HYD-a,XEA]",0.9997539319606162
"qva[SOL-a,XEA]",1.6172698329881285
"qva[WND-a,XEA]",0.9040239468859793
"qva[XEL-a,XEA]",0.9961198264102064
"qva[SRV-a,XEA]",1.0000002932839114
"qva[AGR-a,USA]",1.000000030304995
"qva[FRS-a,USA]",1.0000001520046555
"qva[COA-a,USA]",1.0000000000027962
"qva[OIL-a,USA]",1.00000000016189
"qva[GAS-a,USA]",0.9999999991500726
"qva[OXT-a,USA]",1.0000000422924449
"qva[EIT-a,USA]",1.0000000614215812
"qva[XMN-a,USA]",1.0000001264187304
"qva[P_C-a,USA]",1.000000394509304
"qva[ETD-a,USA]",1.0003541232555389
"qva[CLP-a,USA]",0.9999998967651749
"qva[OLP-a,USA]",0.9924547222675535
"qva[GSP-a,USA]",0.999999445680163
